15.12.2013 13:16:58:The SDV-map.h file at: D:\labs\myFirewall\Firewall\Firewall\NDISFilterDriver.
15.12.2013 13:17:07:Compile   'NDISFilterDriver' for [sdv_driver_entry_harness] ...Done
15.12.2013 13:17:17:Compile   'NDISFilterDriver' for [sdv_driver_entry_harness] ...Done
15.12.2013 13:17:26:Compile   'NDISFilterDriver' for [sdv_driver_entry_harness] ...Done
15.12.2013 13:17:39:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:17:48:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:17:57:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:18:06:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:18:16:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:18:25:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:18:34:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:18:43:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:18:52:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:19:02:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:19:11:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:19:20:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:19:29:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:19:39:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:19:48:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:19:57:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:20:06:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:20:16:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:20:25:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:20:34:Compile   'NDISFilterDriver' for [sdv_lifecycle_harness] ...Done
15.12.2013 13:20:43:Compile   'NDISFilterDriver' for [sdv_lifecycle_harness] ...Done
15.12.2013 13:20:52:Compile   'NDISFilterDriver' for [sdv_lifecycle_harness] ...Done
15.12.2013 13:21:01:Compile   'NDISFilterDriver' for [sdv_proto_driver_init_unload_harness] ...Done
15.12.2013 13:21:11:Compile   'NDISFilterDriver' for [sdv_lifecycle_harness] ...Done
15.12.2013 13:21:20:Compile   'NDISFilterDriver' for [sdv_lifecycle_harness] ...Done
15.12.2013 13:21:29:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:21:38:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:21:47:Compile   'NDISFilterDriver' for [sdv_lifecycle_harness] ...Done
15.12.2013 13:21:56:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:22:06:Compile   'NDISFilterDriver' for [sdv_lifecycle_harness] ...Done
15.12.2013 13:22:15:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:22:24:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:22:33:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:22:42:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:22:52:Compile   'NDISFilterDriver' for [sdv_iflat_harness] ...Done
15.12.2013 13:23:14:Nothing to merge for D:\labs\myFirewall\Firewall\Firewall\NDISFilterDriver
